id,date,user,pc,filename,content
{FA-0001-AAA1},01/04/2010 07:14:11,NGF0157,PC-6056,daily_notes.txt,normal working notes internal text
{FA-0002-AAA2},01/04/2010 07:18:44,NGF0157,PC-6056,project_plan.doc,internal project draft not public
{FA-0003-AAA3},01/04/2010 08:06:55,IKP0472,PC-3842,task_list.txt,normal daily work list
{FA-0004-AAA4},01/04/2010 08:17:08,NOB0181,PC-3446,mail_export.csv,customer names email phone internal
{FA-0005-AAA5},01/04/2010 08:41:30,IKP0472,PC-4124,sales_export.csv,customer export sensitive dataset
{FA-0006-AAA6},01/04/2010 09:02:19,NGF0157,PC-6056,public_info.txt,public information general reference
{FA-0007-AAA7},01/04/2010 09:12:58,NOB0181,PC-4124,team_list.doc,internal employee list office only
{FA-0008-AAA8},01/04/2010 09:37:22,IKP0472,PC-1313,private_photo.jpg,FF-D8
{FA-0009-AAA9},01/04/2010 09:58:44,IKP0472,PC-6056,credentials.txt,service account password token admin
{FA-0010-AAB0},01/04/2010 10:16:03,NOB0181,PC-4124,printer_config.doc,device configuration internal
{FA-0011-AAB1},01/04/2010 10:24:49,IKP0472,PC-6056,normal_doc.doc,standard office document
{FA-0012-AAB2},01/04/2010 10:43:12,IKP0472,PC-1313,random_corrupt.txt,prince prince prince prince anomaly corrupt
{FA-0013-AAB3},01/04/2010 11:21:09,NGF0157,PC-6056,hr_overview.pdf,employee internal data confidential
{FA-0014-AAB4},01/04/2010 12:05:33,NGF0157,PC-6056,budget_2010.xls,financial planning confidential budget
{FA-0015-AAB5},01/04/2010 13:11:40,NOB0181,PC-3446,meeting_minutes.doc,normal business meeting notes
{FA-0016-AAB6},01/04/2010 14:04:26,IKP0472,PC-3842,report_final.pdf,final approved report internal
{FA-0017-AAB7},01/04/2010 15:39:08,NGF0157,PC-6056,archive.zip,50-4B-03-04 compressed internal archive
{FA-0018-AAB8},01/04/2010 16:07:55,NOB0181,PC-3446,client_copy.csv,customer names email phone internal copy
{FA-0019-AAB9},01/04/2010 16:22:17,IKP0472,PC-3842,employee_salary.xlsx,salary payroll confidential
{FA-0020-AAC0},01/04/2010 16:59:42,NGF0157,PC-6056,password_list.txt,password admin root test weak credential
{FA-0021-AAC1},01/04/2010 22:36:14,NOB0181,PC-3446,late_access.txt,unexpected late access from user after hours
{FA-0022-AAC2},01/04/2010 22:49:03,NOB0181,PC-3446,secret_copy.doc,confidential private copy do not share
{FA-0023-AAC3},01/04/2010 23:05:27,NOB0181,PC-3446,usb_dump.zip,50-4B-03-04 archive copied after hours
{FA-0024-AAC4},01/05/2010 07:08:03,NGF0157,PC-6056,daily_notes.txt,normal working notes internal text
{FA-0025-AAC5},01/05/2010 07:29:46,NOB0181,PC-3446,work_notes.txt,normal startup notes
{FA-0026-AAC6},01/05/2010 08:02:17,IKP0472,PC-3842,task_list.txt,normal daily work list
{FA-0027-AAC7},01/05/2010 08:55:40,IKP0472,PC-1313,report_copy.pdf,duplicate internal report
{FA-0028-AAC8},01/05/2010 09:13:09,NGF0157,PC-6056,contract_scan.pdf,contract draft internal use only
{FA-0029-AAC9},01/05/2010 09:34:21,NOB0181,PC-3446,finance_summary.pdf,quarter report sensitive financial data
{FA-0030-AAD0},01/05/2010 09:57:49,IKP0472,PC-1313,private_photo.jpg,FF-D8
{FA-0031-AAD1},01/05/2010 10:06:14,IKP0472,PC-1313,customer_export.csv,customer export sensitive dataset
{FA-0032-AAD2},01/05/2010 10:45:35,IKP0472,PC-1313,random_corrupt.txt,prince prince prince prince anomaly corrupt
{FA-0033-AAD3},01/05/2010 11:18:52,NGF0157,PC-6056,public_info.txt,public information general reference
{FA-0034-AAD4},01/05/2010 11:42:06,NOB0181,PC-3446,internal_memo.doc,internal memo office use
{FA-0035-AAD5},01/05/2010 12:09:11,IKP0472,PC-3842,credentials.txt,service account password token admin
{FA-0036-AAD6},01/05/2010 13:33:02,NGF0157,PC-6056,budget_2010.xls,financial planning confidential budget
{FA-0037-AAD7},01/05/2010 14:24:48,NOB0181,PC-3446,password_reset.doc,contains temporary credentials sensitive
{FA-0038-AAD8},01/05/2010 15:05:29,IKP0472,PC-3842,hr_extract.doc,employee records confidential human resources
{FA-0039-AAD9},01/05/2010 16:44:52,NGF0157,PC-6056,archive.zip,50-4B-03-04 compressed internal archive
{FA-0040-AAE0},01/05/2010 17:02:10,NOB0181,PC-3446,team_list.doc,internal employee list office only
{FA-0041-AAE1},01/05/2010 18:01:03,IKP0472,PC-3842,report_final.pdf,final approved report internal
{FA-0042-AAE2},01/05/2010 21:04:27,IKP0472,PC-3842,after_hours_export.csv,late export of internal dataset
{FA-0043-AAE3},01/05/2010 22:11:15,IKP0472,PC-3842,night_access.txt,unusual evening activity sensitive reference
